product_img,product_details,total_buy,price
https://m.media-amazon.com/images/I/71jG+e7roXL._AC_UL320_.jpg,"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey",Number 1 Top-Rated,"₹56,990"
https://m.media-amazon.com/images/I/61fX7JMM3-L._AC_UL320_.jpg,"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.69kg Laptop",3K+ bought in past month,"₹32,990"
https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UL320_.jpg,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN",1K+ bought in past month,"₹36,990"
https://m.media-amazon.com/images/I/81epBowa4UL._AC_UL320_.jpg,,3K+ bought in past month,"₹56,990"
https://m.media-amazon.com/images/I/517m2WrmJxL._AC_UL320_.jpg,"Acer Aspire Lite 12th Gen Intel Core i5-12450H Thin and Light Laptop (Windows11Home/16GB RAM/512GB SSD/MSO) AL15-52H, 39.62cm (15.6"") IPS Full HD, Backlit Keyboard, Pure Silver, 1.7KG",2K+ bought in past month,"₹41,990"
https://m.media-amazon.com/images/I/61fX7JMM3-L._AC_UL320_.jpg,"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4+512GB SSD/Intel UHD Graphics/15 Inch (38cm) FHD Display/Windows 11 + MSO'21/15 Month McAfee/Carbon Black/Spill Resistant KB/1.69kg",3K+ bought in past month,"₹46,990"
https://m.media-amazon.com/images/I/61fDHkQ6MqL._AC_UL320_.jpg,"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG",1K+ bought in past month,"₹32,990"
https://m.media-amazon.com/images/I/61qlqvTsocL._AC_UL320_.jpg,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG",1K+ bought in past month,"₹20,990"
https://m.media-amazon.com/images/I/71czGb00k5L._AC_UL320_.jpg,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg",1K+ bought in past month,"₹27,990"
https://m.media-amazon.com/images/I/81mgUtc9iKL._AC_UL320_.jpg,,3K+ bought in past month,"₹49,190"
