,tracking_number,boiler_id,report_type,pressure_type,inspection_date,defects_exist,lff_45_days,lff_180_days,filing_fee,total_amount_paid,report_status,bin_number
0,2017-10000102072N0007-5345,10000102072N0007,Initial,Low Pressure,05/23/2017 00:00:00,No,0,0,30,0,Accepted,1014464
1,2017-10000158576Y0001-26781,10000158576Y0001,Initial,Low Pressure,01/05/2017 00:00:00,No,0,0,30,0,Accepted,1060413
2,2017-10000170535N0001-1822,10000170535N0001,Initial,High Pressure,04/17/2017 00:00:00,No,0,0,30,0,Accepted,1047035
3,2017-10000171186N0001-45817,10000171186N0001,Initial,Low Pressure,05/26/2017 00:00:00,No,0,0,30,0,Accepted,1013558
4,2017-10000171332N0001-24368,10000171332N0001,Initial,High Pressure,06/20/2017 00:00:00,No,0,0,30,0,Accepted,1004935
5,2017-10000200064Y0001-46564,10000200064Y0001,Initial,Low Pressure,05/23/2017 00:00:00,No,0,0,30,0,Accepted,1009551
6,2017-10000814523N0001-22766,10000814523N0001,Initial,Low Pressure,07/06/2017 00:00:00,No,0,0,30,0,Accepted,1019770
7,2017-10000816608N0001-64582,10000816608N0001,Initial,Low Pressure,06/21/2017 00:00:00,No,0,0,30,0,Accepted,1013234
8,2017-10000921239Y0001-75473,10000921239Y0001,Initial,Low Pressure,04/14/2017 00:00:00,No,0,0,30,0,Accepted,1061424
9,2017-20000005524Y0001-6442,20000005524Y0001,Initial,Low Pressure,06/28/2017 00:00:00,No,0,0,30,0,Accepted,2008228
10,2017-20000006674N0005-26355,20000006674N0005,Initial,High Pressure,06/21/2017 00:00:00,No,0,0,30,0,Accepted,2100251
11,2017-20000008363N0001-25390,20000008363N0001,Initial,High Pressure,06/14/2017 00:00:00,No,0,0,30,0,Accepted,2097575
12,2017-20000008403Y0001-14598,20000008403Y0001,Initial,Low Pressure,05/25/2017 00:00:00,No,0,0,30,0,Accepted,2014594
13,2017-20000020703N0001-62986,20000020703N0001,Initial,Low Pressure,06/14/2017 00:00:00,No,0,0,30,0,Accepted,2002405
14,2017-20000032573Y0001-38831,20000032573Y0001,Initial,Low Pressure,03/24/2017 00:00:00,Yes,0,0,30,0,Accepted,2011108
15,2017-20000034777Y0001-24204,20000034777Y0001,Initial,Low Pressure,05/09/2017 00:00:00,Yes,0,0,30,0,Accepted,2004297
16,2017-20000046160N0001-25637,20000046160N0001,Initial,Low Pressure,06/08/2017 00:00:00,No,0,0,30,0,Accepted,2003981
17,2017-20000047068Y0001-20558,20000047068Y0001,Initial,Low Pressure,07/13/2017 00:00:00,No,0,0,30,0,Accepted,2091139
18,2017-20000065081N0001-28938,20000065081N0001,Initial,Low Pressure,01/25/2017 00:00:00,No,0,0,30,0,Accepted,2044516
19,2017-20000065489N0001-16597,20000065489N0001,Initial,Low Pressure,02/10/2017 00:00:00,No,0,0,30,0,Accepted,2022639
20,2017-20000068160Y0001-9532,20000068160Y0001,Initial,Low Pressure,05/03/2017 00:00:00,No,0,0,30,0,Accepted,2003502
21,2017-20000111302N0001-34578,20000111302N0001,Initial,Low Pressure,05/09/2017 00:00:00,No,0,0,30,0,Accepted,2091397
22,2017-20000817136N0002-30555,20000817136N0002,Initial,Low Pressure,06/07/2017 00:00:00,Yes,0,0,30,0,Accepted,2003650
23,2017-20000826558N0002-62656,20000826558N0002,Initial,Low Pressure,05/15/2017 00:00:00,Yes,0,0,30,0,Accepted,2003937
24,2017-20000928305Y0001-37959,20000928305Y0001,Initial,Low Pressure,02/24/2017 00:00:00,No,0,0,30,0,Accepted,2057274
25,2017-30000016252Y0001-8078,30000016252Y0001,Initial,Low Pressure,07/25/2017 00:00:00,No,0,0,30,0,Accepted,3327548
26,2017-30000022407Y0001-32118,30000022407Y0001,Initial,Low Pressure,11/29/2017 00:00:00,No,0,0,30,30,Accepted,3125145
27,2017-30000030889Y0001-45623,30000030889Y0001,Initial,Low Pressure,05/22/2017 00:00:00,Yes,0,0,30,0,Accepted,3326042
28,2017-30000032224Y0001-2433,30000032224Y0001,Initial,Low Pressure,07/18/2017 00:00:00,No,0,0,30,0,Accepted,3064182
29,2017-30000058736Y0001-14050,30000058736Y0001,Initial,Low Pressure,02/03/2017 00:00:00,Yes,0,0,30,0,Accepted,3015230
30,2017-30000059672N0001-98962,30000059672N0001,Initial,Low Pressure,05/10/2017 00:00:00,No,0,0,30,0,Accepted,3075496
31,2017-30000064950N0001-22246,30000064950N0001,Initial,Low Pressure,04/13/2017 00:00:00,No,0,0,30,0,Accepted,3153782
32,2017-30000072171Y0001-12795,30000072171Y0001,Initial,Low Pressure,03/17/2017 00:00:00,Yes,0,0,30,0,Accepted,3039748
33,2017-30000072884Y0001-22452,30000072884Y0001,Initial,Low Pressure,06/29/2017 00:00:00,No,0,0,30,0,Accepted,3027610
34,2017-30000072975N0001-47946,30000072975N0001,Subsequent,Low Pressure,02/02/2017 00:00:00,No,0,0,30,0,Accepted,3136457
35,2017-30000093350N0001-21745,30000093350N0001,Initial,Low Pressure,01/31/2017 00:00:00,No,0,0,30,0,Accepted,3328206
36,2017-30000097977N0001-44949,30000097977N0001,Initial,Low Pressure,03/22/2017 00:00:00,Yes,0,0,30,0,Accepted,3071887
37,2017-30000099159N0001-21334,30000099159N0001,Initial,Low Pressure,04/27/2017 00:00:00,No,0,0,30,0,Accepted,3069323
38,2017-30000105603N0001-28955,30000105603N0001,Initial,Low Pressure,06/23/2017 00:00:00,No,0,0,30,0,Accepted,3145506
39,2017-30000111980N0001-20139,30000111980N0001,Initial,High Pressure,06/29/2017 00:00:00,No,0,0,30,0,Accepted,3071868
40,2017-30000112386N0001-5082,30000112386N0001,Initial,Low Pressure,02/21/2017 00:00:00,No,0,0,30,0,Accepted,3394599
41,2017-30000113289N0001-617,30000113289N0001,Initial,Low Pressure,07/07/2017 00:00:00,No,0,0,30,0,Accepted,3000833
42,2017-30000152810Y0001-27027,30000152810Y0001,Initial,Low Pressure,01/19/2017 00:00:00,No,0,0,30,0,Accepted,3102063
43,2017-30000153792Y0001-43058,30000153792Y0001,Initial,Low Pressure,06/19/2017 00:00:00,No,0,0,30,0,Accepted,3075172
44,2017-30000156088Y0001-18772,30000156088Y0001,Initial,Low Pressure,03/31/2017 00:00:00,Yes,0,0,30,0,Accepted,3072958
45,2017-30000162805N0001-1294,30000162805N0001,Initial,Low Pressure,05/04/2017 00:00:00,No,0,0,30,0,Accepted,3159991
46,2017-30000166813Y0001-26808,30000166813Y0001,Initial,Low Pressure,07/18/2017 00:00:00,No,0,0,30,0,Accepted,3072357
47,2017-30000172043Y0001-52339,30000172043Y0001,Initial,Low Pressure,04/19/2017 00:00:00,No,0,0,30,0,Accepted,3116369
48,2017-30000202104Y0001-112125,30000202104Y0001,Initial,Low Pressure,07/20/2017 00:00:00,No,0,0,30,0,Accepted,3057296
49,2017-30000813477Y0001-8880,30000813477Y0001,Initial,Low Pressure,06/05/2017 00:00:00,Yes,0,0,30,0,Accepted,3072990
50,2017-40000005708Y0001-26334,40000005708Y0001,Initial,Low Pressure,07/05/2017 00:00:00,No,0,0,30,0,Accepted,4009450
51,2017-40000009333Y0001-30457,40000009333Y0001,Initial,Low Pressure,02/24/2017 00:00:00,No,0,0,30,0,Accepted,4002924
52,2017-40000039740Y0001-34377,40000039740Y0001,Initial,Low Pressure,03/08/2017 00:00:00,No,0,0,30,0,Accepted,4460707
53,2017-40000045022Y0001-6909,40000045022Y0001,Initial,Low Pressure,01/04/2017 00:00:00,No,0,0,30,0,Accepted,4589727
54,2017-40000045368Y0001-3626,40000045368Y0001,Initial,Low Pressure,07/25/2017 00:00:00,No,0,0,30,0,Accepted,4443412
55,2017-40000059438N0001-69721,40000059438N0001,Initial,Low Pressure,03/30/2017 00:00:00,Yes,0,0,30,0,Accepted,4197851
56,2017-40000060324N0001-15613,40000060324N0001,Initial,Low Pressure,10/10/2017 00:00:00,No,0,0,30,30,Accepted,4169415
57,2017-40000060658N0001-34016,40000060658N0001,Initial,Low Pressure,02/17/2017 00:00:00,No,0,0,30,0,Accepted,4201669
58,2017-40000062147N0001-36419,40000062147N0001,Initial,Low Pressure,05/04/2017 00:00:00,No,0,0,30,0,Accepted,4059468
